P,T,v,u,h,s
0.01,50,14.867,2443.3,2592,8.1741
0.01,100,17.196,2515.5,2687.5,8.4489
0.01,150,19.513,2587.9,2783,8.6893
0.01,200,21.826,2661.4,2879.6,8.9049
0.01,250,24.136,2736.1,2977.5,9.1015
0.01,300,26.446,2812.3,3076.7,9.2827
0.01,400,31.063,2969.3,3280,9.6094
0.01,500,35.68,3132.9,3489.7,9.8998
0.01,600,40.296,3303.3,3706.3,10.1631
0.01,700,44.911,3480.8,3929.9,10.4056
0.01,800,49.527,3665.4,4160.6,10.6312
0.01,900,54.143,3856.9,4398.3,10.8429
0.01,1000,58.758,4055.3,4642.8,11.0429
0.01,1100,63.373,4260,4893.8,11.2326
0.01,1200,67.989,4470.9,5150.8,11.4132
0.01,1300,72.604,4687.4,5413.4,11.5857
0.05,100,3.4187,2511.5,2682.4,7.6953
0.05,150,3.8897,2585.7,2780.2,7.9413
0.05,200,4.3562,2660,2877.8,8.1592
0.05,250,4.8206,2735.1,2976.2,8.3568
0.05,300,5.2841,2811.6,3075.8,8.5387
0.05,400,6.2094,2968.9,3279.3,8.8659
0.05,500,7.1338,3132.6,3489.3,9.1566
0.05,600,8.0577,3303.1,3706,9.4201
0.05,700,8.9813,3480.6,3929.7,9.6626
0.05,800,9.9047,3665.2,4160.4,9.8883
0.05,900,10.828,3856.8,4398.2,10.1
0.05,1000,11.7513,4055.2,4642.7,10.3
0.05,1100,12.6745,4259.9,4893.7,10.4897
0.05,1200,13.5977,4470.8,5150.7,10.6704
0.05,1300,14.5209,4687.3,5413.3,10.8429
0.1,100,1.6959,2506.2,2675.8,7.3611
0.1,150,1.9367,2582.9,2776.6,7.6148
0.1,200,2.1724,2658.2,2875.5,7.8356
0.1,250,2.4062,2733.9,2974.5,8.0346
0.1,300,2.6389,2810.7,3074.5,8.2172
0.1,400,3.1027,2968.3,3278.6,8.5452
0.1,500,3.5655,3132.2,3488.7,8.8362
0.1,600,4.0279,3302.8,3705.6,9.0999
0.1,700,4.49,3480.4,3929.4,9.3424
0.1,800,4.9519,3665,4160.2,9.5682
0.1,900,5.4137,3856.7,4398,9.78
0.1,1000,5.8755,4055,4642.6,9.98
0.1,1100,6.3372,4259.8,4893.6,10.1698
0.1,1200,6.7988,4470.7,5150.6,10.3504
0.1,1300,7.2605,4687.2,5413.3,10.5229
0.2,150,0.95986,2577.1,2769.1,7.281
0.2,200,1.08049,2654.6,2870.7,7.5081
0.2,250,1.1989,2731.4,2971.2,7.71
0.2,300,1.31623,2808.8,3072.1,7.8941
0.2,400,1.54934,2967.2,3277,8.2236
0.2,500,1.78142,3131.4,3487.7,8.5153
0.2,600,2.01302,3302.2,3704.8,8.7793
0.2,700,2.24434,3479.9,3928.8,9.0221
0.2,800,2.4755,3664.7,4159.8,9.2479
0.2,900,2.70656,3856.3,4397.7,9.4598
0.2,1000,2.93755,4054.8,4642.3,9.6599
0.2,1100,3.16848,4259.6,4893.3,9.8497
0.2,1200,3.39938,4470.5,5150.4,10.0304
0.2,1300,3.63026,4687.1,5413.1,10.2029
0.3,150,0.63402,2571,2761.2,7.0792
0.3,200,0.71643,2651,2865.9,7.3132
0.3,250,0.79645,2728.9,2967.9,7.518
0.3,300,0.87535,2807,3069.6,7.7037
0.3,400,1.03155,2966,3275.5,8.0347
0.3,500,1.18672,3130.6,3486.6,8.3271
0.3,600,1.34139,3301.6,3704,8.5915
0.3,700,1.4958,3479.5,3928.2,8.8345
0.3,800,1.65004,3664.3,4159.3,9.0605
0.3,900,1.80417,3856,4397.3,9.2725
0.3,1000,1.95824,4054.5,4642,9.4726
0.3,1100,2.11226,4259.4,4893.1,9.6624
0.3,1200,2.26624,4470.3,5150.2,9.8431
0.3,1300,2.42019,4686.9,5413,10.0157
0.4,150,0.47088,2564.4,2752.8,6.9306
0.4,200,0.53434,2647.2,2860.9,7.1723
0.4,250,0.5952,2726.4,2964.5,7.3804
0.4,300,0.65489,2805.1,3067.1,7.5677
0.4,400,0.77265,2964.9,3273.9,7.9003
0.4,500,0.88936,3129.8,3485.5,8.1933
0.4,600,1.00558,3301,3703.3,8.458
0.4,700,1.12152,3479,3927.6,8.7012
0.4,800,1.2373,3663.9,4158.9,8.9274
0.4,900,1.35298,3855.7,4396.9,9.1394
0.4,1000,1.46859,4054.3,4641.7,9.3396
0.4,1100,1.58414,4259.2,4892.9,9.5295
0.4,1200,1.69966,4470.2,5150,9.7102
0.4,1300,1.81516,4686.7,5412.8,9.8828
0.5,200,0.42503,2643.3,2855.8,7.061
0.5,250,0.47443,2723.8,2961,7.2725
0.5,300,0.52261,2803.3,3064.6,7.4614
0.5,350,0.57015,2883,3168.1,7.6346
0.5,400,0.61731,2963.7,3272.4,7.7956
0.5,500,0.71095,3129,3484.5,8.0893
0.5,600,0.80409,3300.4,3702.5,8.3544
0.5,700,0.89696,3478.6,3927,8.5978
0.5,800,0.98966,3663.6,4158.4,8.824
0.5,900,1.08227,3855.4,4396.6,9.0362
0.5,1000,1.1748,4054,4641.4,9.2364
0.5,1100,1.26728,4259,4892.6,9.4263
0.5,1200,1.35972,4470,5149.8,9.6071
0.5,1300,1.45214,4686.6,5412.6,9.7797
0.6,200,0.35212,2639.4,2850.6,6.9683
0.6,250,0.3939,2721.2,2957.6,7.1833
0.6,300,0.43442,2801.4,3062,7.374
0.6,350,0.47428,2881.6,3166.1,7.5481
0.6,400,0.51374,2962.5,3270.8,7.7097
0.6,500,0.592,3128.2,3483.4,8.0041
0.6,600,0.66976,3299.8,3701.7,8.2695
0.6,700,0.74725,3478.1,3926.4,8.5132
0.6,800,0.82457,3663.2,4157.9,8.7395
0.6,900,0.90179,3855.1,4396.2,8.9518
0.6,1000,0.97893,4053.8,4641.1,9.1521
0.6,1100,1.05603,4258.8,4892.4,9.342
0.6,1200,1.13309,4469.8,5149.6,9.5229
0.6,1300,1.21012,4686.4,5412.5,9.6955
0.8,200,0.26088,2631.1,2839.8,6.8177
0.8,250,0.29321,2715.9,2950.4,7.0402
0.8,300,0.32416,2797.5,3056.9,7.2345
0.8,350,0.35442,2878.6,3162.2,7.4107
0.8,400,0.38429,2960.2,3267.7,7.5735
0.8,500,0.44332,3126.6,3481.3,7.8692
0.8,600,0.50186,3298.7,3700.1,8.1354
0.8,700,0.56011,3477.2,3925.3,8.3794
0.8,800,0.6182,3662.5,4157,8.6061
0.8,900,0.67619,3854.5,4395.5,8.8185
0.8,1000,0.73411,4053.3,4640.5,9.0189
0.8,1100,0.79197,4258.3,4891.9,9.209
0.8,1200,0.8498,4469.4,5149.3,9.3898
0.8,1300,0.90761,4686.1,5412.2,9.5625
1,200,0.20602,2622.3,2828.3,6.6956
1,250,0.23275,2710.4,2943.1,6.9265
1,300,0.25799,2793.7,3051.6,7.1246
1,350,0.2825,2875.7,3158.2,7.3029
1,400,0.30661,2957.9,3264.5,7.467
1,500,0.35411,3125,3479.1,7.7642
1,600,0.40111,3297.5,3698.6,8.0311
1,700,0.44783,3476.3,3924.1,8.2755
1,800,0.49438,3661.7,4156.1,8.5024
1,900,0.54083,3853.9,4394.8,8.715
1,1000,0.58721,4052.7,4640,8.9155
1,1100,0.63354,4257.9,4891.4,9.1057
1,1200,0.67983,4469,5148.9,9.2866
1,1300,0.7261,4685.8,5411.9,9.4593
1.2,200,0.16934,2612.9,2816.1,6.5909
1.2,250,0.19241,2704.7,2935.6,6.8313
1.2,300,0.21386,2789.7,3046.3,7.0335
1.2,350,0.23455,2872.7,3154.2,7.2139
1.2,400,0.25482,2955.5,3261.3,7.3793
1.2,500,0.29464,3123.4,3477,7.6779
1.2,600,0.33395,3296.3,3697,7.9456
1.2,700,0.37297,3475.3,3922.9,8.1904
1.2,800,0.41184,3661,4155.2,8.4176
1.2,900,0.45059,3853.3,4394,8.6303
1.2,1000,0.48928,4052.2,4639.4,8.831
1.2,1100,0.52792,4257.5,4891,9.0212
1.2,1200,0.56652,4468.7,5148.5,9.2022
1.2,1300,0.60509,4685.5,5411.6,9.375
1.4,200,0.14303,2602.7,2803,6.4975
1.4,250,0.16356,2698.9,2927.9,6.7488
1.4,300,0.18233,2785.7,3040.9,6.9553
1.4,350,0.20029,2869.7,3150.1,7.1379
1.4,400,0.21782,2953.1,3258.1,7.3046
1.4,500,0.25216,3121.8,3474.8,7.6047
1.4,600,0.28597,3295.1,3695.5,7.873
1.4,700,0.31951,3474.4,3921.7,8.1183
1.4,800,0.35288,3660.3,4154.3,8.3458
1.4,900,0.38614,3852.7,4393.3,8.5587
1.4,1000,0.41933,4051.7,4638.8,8.7595
1.4,1100,0.45247,4257,4890.5,8.9497
1.4,1200,0.48558,4468.3,5148.1,9.1308
1.4,1300,0.51866,4685.1,5411.3,9.3036
1.6,225,0.13293,2645.1,2857.8,6.5537
1.6,250,0.1419,2692.9,2919.9,6.6753
1.6,300,0.15866,2781.6,3035.4,6.8864
1.6,350,0.17459,2866.6,3146,7.0713
1.6,400,0.19007,2950.8,3254.9,7.2394
1.6,500,0.22029,3120.1,3472.6,7.541
1.6,600,0.24999,3293.9,3693.9,7.8101
1.6,700,0.27941,3473.5,3920.5,8.0558
1.6,800,0.30865,3659.5,4153.4,8.2834
1.6,900,0.3378,3852.1,4392.6,8.4965
1.6,1000,0.36687,4051.2,4638.2,8.6974
1.6,1100,0.39589,4256.6,4890,8.8878
1.6,1200,0.42488,4467.9,5147.7,9.0689
1.6,1300,0.45383,4684.8,5410.9,9.2418
1.8,225,0.11678,2637,2847.2,6.4825
1.8,250,0.12502,2686.7,2911.7,6.6088
1.8,300,0.14025,2777.4,3029.9,6.8246
1.8,350,0.1546,2863.6,3141.9,7.012
1.8,400,0.16849,2948.3,3251.6,7.1814
1.8,500,0.19551,3118.5,3470.4,7.4845
1.8,600,0.222,3292.7,3692.3,7.7543
1.8,700,0.24822,3472.6,3919.4,8.0005
1.8,800,0.27426,3658.8,4152.4,8.2284
1.8,900,0.3002,3851.5,4391.9,8.4417
1.8,1000,0.32606,4050.7,4637.6,8.6427
1.8,1100,0.35188,4256.2,4889.6,8.8331
1.8,1200,0.37766,4467.6,5147.3,9.0143
1.8,1300,0.40341,4684.5,5410.6,9.1872
2,225,0.10381,2628.5,2836.1,6.416
2,250,0.1115,2680.3,2903.3,6.5475
2,300,0.12551,2773.2,3024.2,6.7684
2,350,0.1386,2860.5,3137.7,6.9583
2,400,0.15122,2945.9,3248.4,7.1292
2,500,0.17568,3116.9,3468.3,7.4337
2,600,0.19962,3291.5,3690.7,7.7043
2,700,0.22326,3471.7,3918.2,7.9509
2,800,0.24674,3658,4151.5,8.1791
2,900,0.27012,3850.9,4391.1,8.3925
2,1000,0.29342,4050.2,4637.1,8.5936
2,1100,0.31667,4255.7,4889.1,8.7842
2,1200,0.33989,4467.2,5147,8.9654
2,1300,0.36308,4684.2,5410.3,9.1384
2.5,225,0.08026,2604.8,2805.5,6.2629
2.5,250,0.08705,2663.3,2880.9,6.4107
2.5,300,0.09894,2762.2,3009.6,6.6459
2.5,350,0.10979,2852.5,3127,6.8424
2.5,400,0.12012,2939.8,3240.1,7.017
2.5,450,0.13015,3026.2,3351.6,7.1768
2.5,500,0.13999,3112.8,3462.8,7.3254
2.5,600,0.15931,3288.5,3686.8,7.5979
2.5,700,0.17835,3469.3,3915.2,7.8455
2.5,800,0.19722,3656.2,4149.2,8.0744
2.5,900,0.21597,3849.4,4389.3,8.2882
2.5,1000,0.23466,4049,4635.6,8.4897
2.5,1100,0.2533,4254.7,4887.9,8.6804
2.5,1200,0.2719,4466.3,5146,8.8618
2.5,1300,0.29048,4683.4,5409.5,9.0349
3,250,0.07063,2644.7,2856.5,6.2893
3,300,0.08118,2750.8,2994.3,6.5412
3,350,0.09056,2844.4,3116.1,6.745
3,400,0.09938,2933.6,3231.7,6.9235
3,450,0.10789,3021.2,3344.9,7.0856
3,500,0.1162,3108.6,3457.2,7.2359
3,600,0.13245,3285.5,3682.8,7.5103
3,700,0.14841,3467,3912.2,7.759
3,800,0.1642,3654.3,4146.9,7.9885
3,900,0.17988,3847.9,4387.5,8.2028
3,1000,0.19549,4047.7,4634.2,8.4045
3,1100,0.21105,4253.6,4886.7,8.5955
3,1200,0.22658,4465.3,5145.1,8.7771
3,1300,0.24207,4682.6,5408.8,8.9502
3.5,250,0.05876,2624,2829.7,6.1764
3.5,300,0.06845,2738.8,2978.4,6.4484
3.5,350,0.0768,2836,3104.9,6.6601
3.5,400,0.08456,2927.2,3223.2,6.8428
3.5,450,0.09198,3016.1,3338.1,7.0074
3.5,500,0.09919,3104.5,3451.7,7.1593
3.5,600,0.11325,3282.5,3678.9,7.4357
3.5,700,0.12702,3464.7,3909.3,7.6855
3.5,800,0.14061,3652.5,4144.6,7.9156
3.5,900,0.1541,3846.4,4385.7,8.1304
3.5,1000,0.16751,4046.4,4632.7,8.3324
3.5,1100,0.18087,4252.5,4885.6,8.5236
3.5,1200,0.1942,4464.4,5144.1,8.7053
3.5,1300,0.2075,4681.8,5408,8.8786
4,275,0.05461,2668.9,2887.3,6.2312
4,300,0.05887,2726.2,2961.7,6.3639
4,350,0.06647,2827.4,3093.3,6.5843
4,400,0.07343,2920.8,3214.5,6.7714
4,450,0.08004,3011,3331.2,6.9386
4,500,0.08644,3100.3,3446,7.0922
4,600,0.09886,3279.4,3674.9,7.3706
4,700,0.11098,3462.4,3906.3,7.6214
4,800,0.12292,3650.6,4142.3,7.8523
4,900,0.13476,3844.8,4383.9,8.0675
4,1000,0.14653,4045.1,4631.2,8.2698
4,1100,0.15824,4251.4,4884.4,8.4612
4,1200,0.16992,4463.5,5143.2,8.643
4,1300,0.18157,4680.9,5407.2,8.8164
4.5,275,0.04733,2651.4,2864.4,6.1429
4.5,300,0.05138,2713,2944.2,6.2854
4.5,350,0.05842,2818.6,3081.5,6.5153
4.5,400,0.06477,2914.2,3205.7,6.7071
4.5,450,0.07076,3005.8,3324.2,6.877
4.5,500,0.07652,3096,3440.4,7.0323
4.5,600,0.08766,3276.4,3670.9,7.3127
4.5,700,0.0985,3460,3903.3,7.5647
4.5,800,0.10916,3648.8,4140,7.7962
4.5,900,0.11972,3843.3,4382.1,8.0118
4.5,1000,0.1302,4043.9,4629.8,8.2144
4.5,1100,0.14064,4250.4,4883.2,8.406
4.5,1200,0.15103,4462.6,5142.2,8.588
4.5,1300,0.1614,4680.1,5406.5,8.7616
5,275,0.04144,2632.3,2839.5,6.0571
5,300,0.04535,2699,2925.7,6.2111
5,350,0.05197,2809.5,3069.3,6.4516
5,400,0.05784,2907.5,3196.7,6.6483
5,450,0.06332,3000.6,3317.2,6.821
5,500,0.06858,3091.8,3434.7,6.9781
5,600,0.0787,3273.3,3666.9,7.2605
5,700,0.08852,3457.7,3900.3,7.5136
5,800,0.09816,3646.9,4137.7,7.7458
5,900,0.10769,3841.8,4380.2,7.9619
5,1000,0.11715,4042.6,4628.3,8.1648
5,1100,0.12655,4249.3,4882.1,8.3566
5,1200,0.13592,4461.6,5141.3,8.5388
5,1300,0.14527,4679.3,5405.7,8.7124
6,300,0.03619,2668.4,2885.6,6.0703
6,350,0.04225,2790.4,3043.9,6.3357
6,400,0.04742,2893.7,3178.3,6.5432
6,450,0.05217,2989.9,3302.9,6.7219
6,500,0.05667,3083.1,3423.1,6.8826
6,550,0.06102,3175.2,3541.3,7.0308
6,600,0.06527,3267.2,3658.8,7.1693
6,700,0.07355,3453,3894.3,7.4247
6,800,0.08165,3643.2,4133.1,7.6582
6,900,0.08964,3838.8,4376.6,7.8751
6,1000,0.09756,4040.1,4625.4,8.0786
6,1100,0.10543,4247.1,4879.7,8.2709
6,1200,0.11326,4459.8,5139.4,8.4534
6,1300,0.12107,4677.7,5404.1,8.6273
7,300,0.029492,2633.5,2839.9,5.9337
7,350,0.035262,2770.1,3016.9,6.2305
7,400,0.039958,2879.5,3159.2,6.4502
7,450,0.044187,2979,3288.3,6.6353
7,500,0.048157,3074.3,3411.4,6.8
7,550,0.051966,3167.9,3531.6,6.9507
7,600,0.055665,3261,3650.6,7.091
7,700,0.06285,3448.3,3888.3,7.3487
7,800,0.069856,3639.5,4128.5,7.5836
7,900,0.07675,3835.7,4373,7.8014
7,1000,0.083571,4037.5,4622.5,8.0055
7,1100,0.090341,4245,4877.4,8.1982
7,1200,0.097075,4457.9,5137.4,8.381
7,1300,0.103781,4676.1,5402.6,8.5551
8,300,0.024279,2592.3,2786.5,5.7937
8,350,0.029975,2748.3,2988.1,6.1321
8,400,0.034344,2864.6,3139.4,6.3658
8,450,0.038194,2967.8,3273.3,6.5579
8,500,0.041767,3065.4,3399.5,6.7266
8,550,0.045172,3160.5,3521.8,6.88
8,600,0.048463,3254.7,3642.4,7.0221
8,700,0.054829,3443.6,3882.2,7.2822
8,800,0.061011,3635.7,4123.8,7.5185
8,900,0.067082,3832.7,4369.3,7.7372
8,1000,0.073079,4035,4619.6,7.9419
8,1100,0.079025,4242.8,4875,8.135
8,1200,0.084934,4456.1,5135.5,8.3181
8,1300,0.090817,4674.5,5401,8.4925
9,325,0.023284,2647.6,2857.1,5.8738
9,350,0.025816,2725,2957.3,6.038
9,400,0.02996,2849.2,3118.8,6.2876
9,450,0.033524,2956.3,3258,6.4872
9,500,0.036793,3056.3,3387.4,6.6603
9,550,0.039885,3153,3512,6.8164
9,600,0.042861,3248.4,3634.1,6.9605
9,650,0.045755,3343.4,3755.2,7.0954
9,700,0.048589,3438.8,3876.1,7.2229
9,800,0.054132,3632,4119.2,7.4606
9,900,0.059562,3829.6,4365.7,7.6802
9,1000,0.064919,4032.4,4616.7,7.8855
9,1100,0.070224,4240.7,4872.7,8.0791
9,1200,0.075492,4454.2,5133.6,8.2625
9,1300,0.080733,4672.9,5399.5,8.4371
10,325,0.019877,2611.6,2810.3,5.7596
10,350,0.02244,2699.6,2924,5.946
10,400,0.026436,2833.1,3097.5,6.2141
10,450,0.029782,2944.5,3242.4,6.4219
10,500,0.032811,3047,3375.1,6.5995
10,550,0.035655,3145.4,3502,6.7585
10,600,0.038378,3242,3625.8,6.9045
10,650,0.041018,3338,3748.1,7.0408
10,700,0.043597,3434,3870,7.1693
10,800,0.048629,3628.2,4114.5,7.4085
10,900,0.053547,3826.5,4362,7.629
10,1000,0.058391,4029.9,4613.8,7.8349
10,1100,0.063183,4238.5,4870.3,8.0289
10,1200,0.067938,4452.4,5131.7,8.2126
10,1300,0.072667,4671.3,5398,8.3874
12.5,350,0.016138,2624.9,2826.6,5.713
12.5,400,0.02003,2789.6,3040,6.0433
12.5,450,0.023019,2913.7,3201.5,6.2749
12.5,500,0.02563,3023.2,3343.6,6.4651
12.5,550,0.028033,3126.1,3476.5,6.6317
12.5,600,0.030306,3225.8,3604.6,6.7828
12.5,650,0.032491,3324.1,3730.2,6.9227
12.5,700,0.034612,3422,3854.6,7.054
12.5,800,0.038724,3618.8,4102.8,7.2967
12.5,900,0.04272,3818.9,4352.9,7.5195
12.5,1000,0.046641,4023.5,4606.5,7.7269
12.5,1100,0.05051,4233.1,4864.5,7.922
12.5,1200,0.054342,4447.7,5127,8.1065
12.5,1300,0.058147,4667.3,5394.1,8.2819
15,350,0.011481,2520.9,2693.1,5.4438
15,400,0.015671,2740.6,2975.7,5.8819
15,450,0.018477,2880.8,3157.9,6.1434
15,500,0.020828,2998.4,3310.8,6.348
15,550,0.022945,3106.2,3450.4,6.523
15,600,0.024921,3209.3,3583.1,6.6796
15,650,0.026804,3310.1,3712.1,6.8233
15,700,0.028621,3409.8,3839.1,6.9573
15,800,0.032121,3609.3,4091.1,7.2037
15,900,0.035503,3811.2,4343.7,7.4288
15,1000,0.038808,4017.1,4599.2,7.6378
15,1100,0.042062,4227.7,4858.6,7.8339
15,1200,0.045279,4443.1,5122.3,8.0192
15,1300,0.048469,4663.3,5390.3,8.1952
17.5,400,0.012463,2684.3,2902.4,5.7211
17.5,450,0.015204,2845.4,3111.4,6.0212
17.5,500,0.017385,2972.4,3276.7,6.2424
17.5,550,0.019305,3085.8,3423.6,6.4266
17.5,600,0.021073,3192.5,3561.3,6.589
17.5,650,0.022742,3295.8,3693.8,6.7366
17.5,700,0.024342,3397.5,3823.5,6.8735
17.5,800,0.027405,3599.7,4079.3,7.1237
17.5,900,0.030348,3803.5,4334.6,7.3511
17.5,1000,0.033215,4010.7,4592,7.5616
17.5,1100,0.036029,4222.3,4852.8,7.7588
17.5,1200,0.038806,4438.5,5117.6,7.9449
17.5,1300,0.041556,4659.2,5386.5,8.1215
20,400,0.00995,2617.9,2816.9,5.5526
20,450,0.012721,2807.3,3061.7,5.9043
20,500,0.014793,2945.3,3241.2,6.1446
20,550,0.016571,3064.7,3396.2,6.339
20,600,0.018185,3175.3,3539,6.5075
20,650,0.019695,3281.4,3675.3,6.6593
20,700,0.021134,3385.1,3807.8,6.7991
20,800,0.02387,3590.1,4067.5,7.0531
20,900,0.026484,3795.7,4325.4,7.2829
20,1000,0.02902,4004.3,4584.7,7.495
20,1100,0.031504,4216.9,4847,7.6933
20,1200,0.033952,4433.8,5112.9,7.8802
20,1300,0.036371,4655.2,5382.7,8.0574
25,375,0.001978,1799.9,1849.4,4.0345
25,400,0.006005,2428.5,2578.7,5.14
25,425,0.007886,2607.8,2805,5.4708
25,450,0.009176,2721.2,2950.6,5.6759
25,500,0.011143,2887.3,3165.9,5.9643
25,550,0.012736,3020.8,3339.2,6.1816
25,600,0.01414,3140,3493.5,6.3637
25,650,0.01543,3251.9,3637.7,6.5243
25,700,0.016643,3359.9,3776,6.6702
25,800,0.018922,3570.7,4043.8,6.9322
25,900,0.021075,3780.2,4307.1,7.1668
25,1000,0.02315,3991.5,4570.2,7.3821
25,1100,0.025172,4206.1,4835.4,7.5825
25,1200,0.027157,4424.6,5103.5,7.771
25,1300,0.029115,4647.2,5375.1,7.9494
30,375,0.001792,1738.1,1791.9,3.9313
30,400,0.002798,2068.9,2152.8,4.4758
30,425,0.005299,2452.9,2611.8,5.1473
30,450,0.006737,2618.9,2821,5.4422
30,500,0.008691,2824,3084.8,5.7956
30,550,0.010175,2974.5,3279.7,6.0403
30,600,0.011445,3103.4,3446.8,6.2373
30,650,0.01259,3221.7,3599.4,6.4074
30,700,0.013654,3334.3,3743.9,6.5599
30,800,0.015628,3551.2,4020,6.8301
30,900,0.017473,3764.6,4288.8,7.0695
30,1000,0.01924,3978.6,4555.8,7.288
30,1100,0.020954,4195.2,4823.9,7.4906
30,1200,0.02263,4415.3,5094.2,7.6807
30,1300,0.024279,4639.2,5367.6,7.8602
35,375,0.001701,1702.8,1762.4,3.8724
35,400,0.002105,1914.9,1988.6,4.2144
35,425,0.003434,2253.3,2373.5,4.7751
35,450,0.004957,2497.5,2671,5.1946
35,500,0.006933,2755.3,2997.9,5.6331
35,550,0.008348,2925.8,3218,5.9093
35,600,0.009523,3065.6,3399,6.1229
35,650,0.010565,3190.9,3560.7,6.303
35,700,0.011523,3308.3,3711.6,6.4623
35,800,0.013278,3531.6,3996.3,6.7409
35,900,0.014904,3749,4270.6,6.9853
35,1000,0.01645,3965.8,4541.5,7.2069
35,1100,0.017942,4184.4,4812.4,7.4118
35,1200,0.019398,4406.1,5085,7.6034
35,1300,0.020827,4631.2,5360.2,7.7841
40,375,0.001641,1677,1742.6,3.829
40,400,0.001911,1855,1931.4,4.1145
40,425,0.002538,2097.5,2199,4.5044
40,450,0.003692,2364.2,2511.8,4.9449
40,500,0.005623,2681.6,2906.5,5.4744
40,550,0.006985,2875.1,3154.4,5.7857
40,600,0.008089,3026.8,3350.4,6.017
40,650,0.009053,3159.5,3521.6,6.2078
40,700,0.00993,3282,3679.2,6.374
40,800,0.011521,3511.8,3972.6,6.6613
40,900,0.01298,3733.3,4252.5,6.9107
40,1000,0.01436,3952.9,4527.3,7.1355
40,1100,0.015686,4173.7,4801.1,7.3425
40,1200,0.016976,4396.9,5075.9,7.5357
40,1300,0.018239,4623.3,5352.8,7.7175
50,375,0.00156,1638.6,1716.6,3.7642
50,400,0.001731,1787.8,1874.4,4.0029
50,425,0.002009,1960.3,2060.7,4.2746
50,450,0.002487,2160.3,2284.7,4.5896
50,500,0.00389,2528.1,2722.6,5.1762
50,550,0.005118,2769.5,3025.4,5.5563
50,600,0.006108,2947.1,3252.6,5.8245
50,650,0.006957,3095.6,3443.5,6.0373
50,700,0.007717,3228.7,3614.6,6.2179
50,800,0.009073,3472.2,3925.8,6.5225
50,900,0.010296,3702,4216.8,6.7819
50,1000,0.011441,3927.4,4499.4,7.0131
50,1100,0.012534,4152.2,4778.9,7.2244
50,1200,0.01359,4378.6,5058.1,7.4207
50,1300,0.01462,4607.5,5338.5,7.6048
60,375,0.001503,1609.7,1699.9,3.7149
60,400,0.001633,1745.2,1843.2,3.9317
60,425,0.001816,1892.9,2001.8,4.163
60,450,0.002086,2055.1,2180.2,4.414
60,500,0.002952,2393.2,2570.3,4.9356
60,550,0.003955,2664.6,2901.9,5.3517
60,600,0.004833,2866.8,3156.8,5.6527
60,650,0.005591,3031.3,3366.8,5.8867
60,700,0.006265,3175.4,3551.3,6.0814
60,800,0.007456,3432.6,3880,6.4033
60,900,0.008519,3670.9,4182.1,6.6725
60,1000,0.009504,3902,4472.2,6.9099
60,1100,0.010439,4130.9,4757.3,7.1255
60,1200,0.011339,4360.5,5040.8,7.3248
60,1300,0.012213,4591.8,5324.5,7.5111
